"step_number","time_in_days","soil_temperature_in_Celsius","sucrose_input_rate"
0,0,10,1.8e-11
1,0.0416666666666667,10,9.8e-11
2,0.0833333333333333,10,1.64e-10
3,0.125,10,2.06e-10
4,0.166666666666667,10,2.31e-10
5,0.208333333333333,10,2.46e-10
6,0.25,10,2.55e-10
7,0.291666666666667,10,2.6e-10
8,0.333333333333333,10,2.64e-10
9,0.375,10,2.66e-10
10,0.416666666666667,10,2.67e-10
11,0.458333333333333,10,2.67e-10
12,0.5,10,2.68e-10
13,0.541666666666667,10,1.62e-10
14,0.583333333333333,10,1.08e-10
15,0.625,10,7.45e-11
16,0.666666666666667,10,5.38e-11
17,0.708333333333333,10,4.1e-11
18,0.75,10,3.27e-11
19,0.791666666666667,10,2.73e-11
20,0.833333333333333,10,2.38e-11
21,0.875,10,2.14e-11
22,0.916666666666667,10,1.98e-11
23,0.958333333333333,10,1.88e-11
24,1,10,1.8e-11
25,1.04166666666667,10,9.8e-11
26,1.08333333333333,10,1.64e-10
27,1.125,10,2.06e-10
28,1.16666666666667,10,2.31e-10
29,1.20833333333333,10,2.46e-10
30,1.25,10,2.55e-10
31,1.29166666666667,10,2.6e-10
32,1.33333333333333,10,2.64e-10
33,1.375,10,2.66e-10
34,1.41666666666667,10,2.67e-10
35,1.45833333333333,10,2.67e-10
36,1.5,10,2.68e-10
37,1.54166666666667,10,1.62e-10
38,1.58333333333333,10,1.08e-10
39,1.625,10,7.45e-11
40,1.66666666666667,10,5.38e-11
41,1.70833333333333,10,4.1e-11
42,1.75,10,3.27e-11
43,1.79166666666667,10,2.73e-11
44,1.83333333333333,10,2.38e-11
45,1.875,10,2.14e-11
46,1.91666666666667,10,1.98e-11
47,1.95833333333333,10,1.88e-11
48,2,10,1.8e-11
49,2.04166666666667,10,9.8e-11
50,2.08333333333333,10,1.64e-10
51,2.125,10,2.06e-10
52,2.16666666666667,10,2.31e-10
53,2.20833333333333,10,2.46e-10
54,2.25,10,2.55e-10
55,2.29166666666667,10,2.6e-10
56,2.33333333333333,10,2.64e-10
57,2.375,10,2.66e-10
58,2.41666666666667,10,2.67e-10
59,2.45833333333333,10,2.67e-10
60,2.5,10,2.68e-10
61,2.54166666666667,10,1.62e-10
62,2.58333333333333,10,1.08e-10
63,2.625,10,7.45e-11
64,2.66666666666667,10,5.38e-11
65,2.70833333333333,10,4.1e-11
66,2.75,10,3.27e-11
67,2.79166666666667,10,2.73e-11
68,2.83333333333333,10,2.38e-11
69,2.875,10,2.14e-11
70,2.91666666666667,10,1.98e-11
71,2.95833333333333,10,1.88e-11
72,3,10,1.8e-11
73,3.04166666666667,10,9.8e-11
74,3.08333333333333,10,1.64e-10
75,3.125,10,2.06e-10
76,3.16666666666667,10,2.31e-10
77,3.20833333333333,10,2.46e-10
78,3.25,10,2.55e-10
79,3.29166666666667,10,2.6e-10
80,3.33333333333333,10,2.64e-10
81,3.375,10,2.66e-10
82,3.41666666666667,10,2.67e-10
83,3.45833333333333,10,2.67e-10
84,3.5,10,2.68e-10
85,3.54166666666667,10,1.62e-10
86,3.58333333333333,10,1.08e-10
87,3.625,10,7.45e-11
88,3.66666666666667,10,5.38e-11
89,3.70833333333333,10,4.1e-11
90,3.75,10,3.27e-11
91,3.79166666666667,10,2.73e-11
92,3.83333333333333,10,2.38e-11
93,3.875,10,2.14e-11
94,3.91666666666667,10,1.98e-11
95,3.95833333333333,10,1.88e-11
96,4,10,1.8e-11
97,4.04166666666667,10,9.8e-11
98,4.08333333333333,10,1.64e-10
99,4.125,10,2.06e-10
100,4.16666666666667,10,2.31e-10
101,4.20833333333333,10,2.46e-10
102,4.25,10,2.55e-10
103,4.29166666666667,10,2.6e-10
104,4.33333333333333,10,2.64e-10
105,4.375,10,2.66e-10
106,4.41666666666667,10,2.67e-10
107,4.45833333333333,10,2.67e-10
108,4.5,10,2.68e-10
109,4.54166666666667,10,1.62e-10
110,4.58333333333333,10,1.08e-10
111,4.625,10,7.45e-11
112,4.66666666666667,10,5.38e-11
113,4.70833333333333,10,4.1e-11
114,4.75,10,3.27e-11
115,4.79166666666667,10,2.73e-11
116,4.83333333333333,10,2.38e-11
117,4.875,10,2.14e-11
118,4.91666666666667,10,1.98e-11
119,4.95833333333333,10,1.88e-11
120,5,10,1.8e-11
121,5.04166666666667,10,9.8e-11
122,5.08333333333333,10,1.64e-10
